Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
58,Blog,PIV Smart Cards vs USB Tokens vs Embedded Secure Elements,https://ambisecure.ambimat.com/blog/piv-vs-usb-tokens-vs-embedded/,COMPARISON,PIV,Secure Elements;Certificate lifecycle;Enterprise access,Workforce identity,1,"PIV cards, USB tokens and embedded secure elements are all hardware-backed and all equally secure — the workforce decision turns on lifecycle, physical-logical convergence, and what happens at recovery time.",IAM leader,"Pick on Lifecycle, Not Security","Badge, Token, or Soldered Silicon",TECHNICAL ARTICLE,COMPARISON,"Dominant object: three credential form factors rendered as physical objects in a row — a PIV smart card, a USB token, a secure element soldered to a board — sitting above a lifecycle track rather than a security scale, because the article's thesis is that a security ranking would be wrong. The relationship: all three seal a private key identically, so the differentiator drawn beneath each is where its lifecycle is operated — issuance CA line, help-desk slot configuration, MDM channel. Five nodes: the three form factors plus two lifecycle endpoints, the issuing CA and the MDM. What stays inside hardware: the private key in each of the three, drawn with visually identical sealing so the parity is unmistakable. What communicates externally: certificates outbound, CRL/OCSP pulls at the relying party, and MDM rotation traffic to the embedded SE. Labels allowed: PIV, PKCS#11, NIST SP 800-73, CHUID, TPM, MDM, OCSP/CRL, AAGUID. Within VSG-COMPARISON-MATRIX this compares physical form factors on lifecycle, unlike the attack-class and generational matrices in the group.","Do not rank the three by security or draw one as stronger — the article states all three are hardware-backed and that the question is not which is most secure; Do not show a private key exported or extracted from any of the three; Do not draw the embedded secure element as portable between devices, since its credential dies with the device; Do not give the USB token badge or personnel-record semantics, which the article reserves to the PIV card; Do not imply hardware credentials solve enrolment fraud, help-desk recovery, or a compromised relying party","PIV card, USB token and soldered secure element compared on lifecycle — issuance CA, help-desk setup, or MDM channel — since all three seal the workforce private key equally.",ambisecure-blog-piv-vs-usb-tokens-vs-embedded-1200x630.png,VSG-COMPARISON-MATRIX,blog.png,Not started,Cornerstone. The thesis is explicitly that none of the three is more secure than the others — any visual security ranking would directly contradict the page.
59,Blog,Designing Secure Email and Document Signing Platforms,https://ambisecure.ambimat.com/blog/designing-email-document-signing-platforms/,ARCHITECTURE ARTICLE,PKI,Certificate lifecycle;Smart cards;Hardware security keys,PKI & digital signatures,1,"A signing platform is a stack — hardware-held credentials, an issuance CA, a trust list, a timestamp authority and an audit-signing key — and where the signing key lives decides everything else, including whether the signature is legally binding.",PKI engineer,Signatures That Outlive the Certificate,Where the Signing Key Lives Decides Everything,ARCHITECTURE,LIFECYCLE,"Dominant object: one signature travelling left to right along a time axis, crossing the signer certificate's expiry line and still verifying on the far side. The relationship is capture-at-signing-time: as the CMS envelope is built it absorbs the OCSP response and an RFC 3161 Time-Stamp Token into its signed attributes, so a verifier years later rebuilds the whole validation chain from the bundle alone, with no live responder to call. Five nodes: the hardware-held signing credential (card or token), the CMS/PKCS#7 envelope, the Time-Stamp Authority, the certificate-expiry line on the axis, and the future verifier. What stays inside hardware: the signing private key — the platform sends a document hash in via APDU and gets a signature out, and the key has no path off the card. What communicates externally: the hash to the credential, the TSA request, and the OCSP fetch made once at signing time. Labels allowed: S/MIME, CMS/PKCS#7, PAdES, RFC 3161, OCSP, LTV, X.509. Within VSG-PKI-LIFECYCLE the axis is signature longevity across expiry, not certificate issuance and renewal.","Do not show the signing private key leaving the card or token — the platform sends a hash and receives a signature back; Do not draw the future verifier contacting a live OCSP responder, since LTV exists precisely because that responder may be long gone; Do not present server-side HSM signing as satisfying eIDAS sole-control without explicit cryptographic-control attestation; Do not conflate TLS protection in transit with signature integrity that survives storage and expiry; Do not imply AmbiSecure holds AATL or EU Trusted List inclusion","A signature crossing its own certificate's expiry and still verifying, because LTV baked the OCSP response and an RFC 3161 timestamp into the CMS bundle at signing time.",ambisecure-blog-designing-email-document-signing-platforms-1200x630.png,VSG-PKI-LIFECYCLE,blog.png,Not started,"Cornerstone. Body references Secure Mail Suite, PKCS Signature Suite and Digital Signature Token as AmbiSecure products — keep the image at architecture level rather than product-branded."
60,Blog,Building Secure IoT Identity with Security Applets,https://ambisecure.ambimat.com/blog/secure-iot-identity-with-applets/,ARCHITECTURE ARTICLE,IoT security,JavaCard; Device identity; Provisioning,IoT device identity architecture,1,"Hardware-backed IoT identity is not one applet but five — provisioning, attestation, mTLS, signed firmware and key rotation — running on a CC EAL6+ secure element the host MCU can never read.",Connected-product OEM,"Five Applets, One Device Identity",The Host MCU Never Sees the Key,ARCHITECTURE,SYSTEM ARCHITECTURE,"Dominant object: a secure-element die shown as a bounded enclosure, with five labelled applet tiles stacked inside it (PROVISIONING, ATTESTATION, mTLS, SIGNED FIRMWARE, KEY ROTATION) — exactly five nodes, no more. The host MCU sits outside the boundary connected by a single thin bus line labelled ISO 7816 / I2C / SPI; the flow across that bus is command-and-result only, drawn as request arrows in and signature/public-key arrows out. Inside the boundary: identity_key = KDF(master_key, UID) resting in a non-extractable slot; outside: the public key and signed quote travelling to a fleet platform. Variation within VSG-SE-ARCHITECTURE: this is the applet-stack view of an SE (five functional tiles), not a silicon cutaway or a trust chain. Allowed labels: applet names, the bus name, SCP03, UID. Must not imply the applets are firmware on the MCU or that the MCU holds any key.",Do not draw the identity private key crossing the bus to the host MCU; do not show the Master Key present on the host or in the fleet platform; do not depict per-device keys as copies of one shared fleet key; do not label the secure element with a certification the page does not claim beyond CC EAL6+; do not show more than the five named applets,Five AmbiSecure JavaCard applets inside a secure-element boundary — provisioning to key rotation — with only commands and public keys crossing to the host MCU.,ambisecure-blog-secure-iot-identity-with-applets-1200x630.png,VSG-SE-ARCHITECTURE,blog.png,Not started,
61,Blog,Engineering ePassport Issuance and Identity Platforms,https://ambisecure.ambimat.com/blog/engineering-epassport-issuance-platforms/,ARCHITECTURE ARTICLE,Government identity,PKI; Personalization; Certificate lifecycle,ePassport programme engineering,1,"An ICAO 9303 ePassport programme is mostly the data-centre half — CSCA/DSC PKI, LDS generation, SOd signing, personalisation and inspection support — and that is where the seams break.",Government programme,An ePassport Is Two Systems,CSCA to Chip: The Issuing Backbone,ARCHITECTURE,TRUST CHAIN,"Dominant object: a vertical signing chain from CSCA (root, one per country, long-lived) down through DSC (short-lived, months) to the SOd sitting on a contactless passport chip — the chip rendered small and inset, deliberately dwarfed by the data-centre side. Five nodes maximum: CSCA, DSC, personalisation backbone, SOd/LDS on chip, ICAO PKD. The flow: DSC signs the SOd that binds hashed data groups DG1 (MRZ) and DG2 (face); the CSCA publishes DSCs to the PKD so a border verifier can walk the chain. Inside hardware: the LDS data groups and the signed SOd on the chip. Externally communicating: PKD publication and the contactless personalisation write. Allowed labels: CSCA, DSC, SOd, LDS, DG1, DG2, ICAO PKD, ISO/IEC 14443. Must not imply the CSCA signs individual passports directly.",Do not show the CSCA signing the SOd — only a DSC does; do not draw contact pads or a chip module on what is a contactless ISO/IEC 14443 inlay; do not show DG3 fingerprints readable without EAC gating; do not depict the ICAO PKD as a live per-border lookup like OCSP; do not imply AmbiSecure issues or operates a country's CSCA,"The issuing half of an ICAO 9303 passport programme: CSCA signs short-lived DSCs, a DSC signs each SOd, and the PKD publishes the chain for border verifiers.",ambisecure-blog-engineering-epassport-issuance-platforms-1200x630.png,VSG-EPASSPORT,blog.png,Not started,
62,Blog,Passkeys vs Traditional MFA,https://ambisecure.ambimat.com/blog/passkeys-vs-traditional-mfa/,COMPARISON,Passkeys,Phishing-resistant authentication; WebAuthn; Passwordless authentication,FIDO & WebAuthn,1,"Passkeys are not a stronger factor bolted onto MFA — they are a different cryptographic primitive whose origin binding retires phishing, replay, credential stuffing and push fatigue as attack classes.",IAM leader,"MFA Was a Strategy, Passkeys Are a Primitive",Origin Binding Retires the Phishing Page,SECURITY EXPLAINER,COMPARISON,"Dominant object: two credential objects side by side under a single AITM proxy page positioned between user and relying party. Left: a bearer token (a 6-digit OTP / push approval) drawn as a value that copies cleanly through the proxy and arrives valid at the backend. Right: an origin-bound key pair whose assertion is computed over the relying-party origin, so the proxy's origin does not match and the ceremony yields nothing usable. Four nodes only: user, AITM proxy, legitimate RP, credential store. Inside hardware: the passkey's private key, never rendered in transit. Externally: only a signed assertion and the origin string. Variation within VSG-COMPARISON-MATRIX: this is a two-object attack-path comparison under a live proxy, not a feature grid. Allowed labels: TOTP, push, origin, signed assertion, AITM. Must not imply passkeys are simply a third factor added to a stack.",Do not equate a passkey with a hardware security key — passkeys may be synced (BE=1) or device-bound (BE=0); do not show the passkey private key travelling to the relying party; do not present passkeys as an extra factor stacked on password plus OTP; do not imply passkeys defeat endpoint malware or device theft; do not show an OTP being blocked by the proxy — the point is that it passes through,Why an adversary-in-the-middle proxy replays a one-time code but cannot use a passkey: the assertion is bound to the relying-party origin it never matches.,ambisecure-blog-passkeys-vs-traditional-mfa-1200x630.png,VSG-COMPARISON-MATRIX,blog.png,Not started,
63,Blog,Why Hardware-Backed Identity Matters,https://ambisecure.ambimat.com/blog/why-hardware-backed-identity-matters/,THOUGHT LEADERSHIP,Secure Elements,Hardware security keys; Device identity; Attestation,Security economics,1,"Hardware does not make key theft impossible — it moves cost-per-extraction by orders of magnitude, and that economics is what decides whether authentication holds at fleet scale.",CISO,Cost Per Extraction Decides the Architecture,What a Credential Costs to Steal,TECHNICAL ARTICLE,COMPARISON,"Dominant object: a rising cost-per-extraction ladder on a logarithmic cost axis, exactly five rungs drawn as credential tiers: password ($0–$5, phishing kit), software key on a laptop ($50–$5k, malware or access broker), TPM-bound ($5k–$50k, kernel compromise or chip-level rig), consumer secure element ($50k–$500k, decap and microprobe), CC EAL6+ secure element ($500k–$5m+, funded actor, months). A horizontal 'mass attack becomes uneconomic' threshold line crosses the ladder above the software tier. Inside hardware: nothing rendered as extractable — each hardware rung shows a physical attack rig, not a key in flight. Externally: only the attacker's cost. Variation within VSG-THREAT-LANDSCAPE: this is an economic ladder with a cost axis, distinct from rec 125's field-device failure-mode map. Allowed labels: the five tier names and their dollar bands verbatim from the page.","Do not present hardware as making extraction impossible — the page's claim is cost, not impossibility; do not treat TPM, consumer SE and CC EAL6+ SE as one hardware tier; do not show a private key being read out of any secure element; do not attribute the dollar bands to a benchmark or certification AmbiSecure performed; do not imply platform secure enclaves are inadequate for consumer use — the page says they are fine there","A logarithmic ladder of what stealing one credential costs an attacker, from a $5 phishing kit to millions against a CC EAL6+ secure element boundary.",ambisecure-blog-why-hardware-backed-identity-matters-1200x630.png,VSG-THREAT-LANDSCAPE,blog.png,Not started,
64,Blog,Designing Enterprise Passwordless Systems,https://ambisecure.ambimat.com/blog/designing-enterprise-passwordless-systems/,HOW-TO ARTICLE,Passwordless authentication,WebAuthn; Enterprise access; Attestation,Enterprise IAM deployment,1,"WebAuthn is the easy part — what separates a weekend demo from a 10,000-seat rollout is the nine operational components around the protocol.",IAM leader,Nine Components Around the Protocol,WebAuthn Is the Easy Part,ARCHITECTURE,SYSTEM ARCHITECTURE,"Dominant object: a small WebAuthn ceremony box drawn deliberately compact at the centre, ringed by the operational scaffolding that dwarfs it. Five major nodes only, chosen from the page's nine components: authenticators (card + USB key, two per user), provisioning pipeline (HR-triggered, day-1 IT desk), FIDO validation server with AAGUID allow-list, IdP federation fanning out to SAML/OIDC apps, and lifecycle automation with IT-mediated recovery. Inside hardware: the credential key pairs on the two authenticators. Externally: attestation statements, AAGUID and signCount flowing into audit logging. Variation within VSG-ENTERPRISE-ACCESS: the organising idea is scaffolding-around-a-small-protocol-core, with an HR-to-IdP propagation spine. Allowed labels: component names, AAGUID, signCount, SAML/OIDC, FIDO MDS. Must not imply the protocol itself is the hard part.",Do not show a password fallback anywhere in the recovery path — the page is explicit that recovery is IT-mediated re-enrolment; do not draw self-service recovery without identity verification; do not show attestation enforcement without an AAGUID allow-list; do not depict apps integrating WebAuthn individually rather than federating at the IdP; do not imply AmbiSecure operates the customer's HR or IdP systems,"A compact WebAuthn ceremony ringed by the provisioning, validation, federation, recovery and lifecycle machinery a workforce rollout actually runs on.",ambisecure-blog-designing-enterprise-passwordless-systems-1200x630.png,VSG-ENTERPRISE-ACCESS,blog.png,Not started,
65,Blog,Platform vs Roaming Authenticators,https://ambisecure.ambimat.com/blog/platform-vs-roaming-authenticators/,COMPARISON,Hardware security keys,FIDO2; WebAuthn; Passkeys,FIDO authenticator form factors,1,"Platform and roaming authenticators are both first-class WebAuthn citizens; the choice is operational — work patterns, assurance and budget — and the right answer is usually both.",Security architect,Platform or Roaming Is an Operational Choice,Both Are First-Class WebAuthn Citizens,TECHNICAL ARTICLE,COMPARISON,"Dominant object: a two-column form-factor grid with an equal-weight balance, not a winner. Left column, platform: a laptop with its TPM 2.0 / Secure Enclave shown bound to that one host, attestation formats tpm and apple noted. Right column, roaming: an OnePass Card and OnePass USB Key that detach and travel across hosts over USB-HID and NFC. Five nodes maximum: platform authenticator, host device, roaming authenticator, second host, and the phone-as-roaming node reached over the hybrid (caBLE) transport drawn as a dashed link rather than a cable. Inside hardware: the credential key in each authenticator's secure element. Externally: the assertion only. Variation within VSG-COMPARISON-MATRIX: this is a form-factor and portability grid with a mobility axis, unlike rec 62's attack-path comparison. Allowed labels: form-factor names, USB-HID, NFC, caBLE, AAGUID, TPM 2.0.",Do not depict WebAuthn as preferring or ranking one attachment over the other; do not draw the caBLE phone as a platform authenticator on the host it signs for — over hybrid transport it is roaming; do not show a credential migrating from a platform authenticator to a roaming key; do not give a battery-free USB key a battery or a pairing step; do not conflate a synced passkey in a platform authenticator with a device-bound credential,"Platform authenticators bound to one host versus roaming OnePass cards and keys that travel, with the phone reaching hosts over WebAuthn hybrid transport.",ambisecure-blog-platform-vs-roaming-authenticators-1200x630.png,VSG-COMPARISON-MATRIX,blog.png,Not started,
98,Blog,Common Misconceptions About 2FA (Archive 2021),https://ambisecure.ambimat.com/blog/archive/common-misconceptions-about-2fa/,SECURITY ANALYSIS,Phishing-resistant authentication,Hardware security keys;FIDO2,Authentication fundamentals,3,"Two-factor authentication is not one thing — the myths collapse once you separate possession-only factors like SMS and push from origin-bound, hardware-rooted ones.",IAM leader,Not All Second Factors Are Equal,What 2FA Actually Defends Against,SECURITY EXPLAINER,COMPARISON,"Dominant object: a factor-versus-attack grid — five second-factor rows tested against two attack columns (credential phishing via a real-time relay, and endpoint/SMS interception). The five rows are the only nodes: SMS OTP, authenticator-app TOTP, push approval, PIN-protected FIDO2 security key, on-card biometric. The relationship is a verdict per cell, not a narrative flow: the first three rows fail the relay column because the user can hand the code onward; the FIDO2 rows hold because the signature is bound to the origin, so a proxy site gets nothing it can replay. Nothing here is a hardware cutaway — the key appears as a flat row glyph and the private key is never drawn on the grid at all. Labels allowed: SMS OTP, TOTP, Push, FIDO2, origin-bound, relay. Must not imply that adding any second factor equals phishing resistance, nor that 2FA addresses endpoint malware.",Do not label FIDO2 'phishing-proof' or 'the only phishing-proof factor' — the 2021 archive copy overstates this; PIV certificates are also phishing-resistant; Do not show authenticator-app TOTP as immune to real-time relay phishing — the code is still user-transcribable; Do not depict 2FA as blocking malware already resident on the endpoint; Do not show the AmbiSecure key needing a battery or network link — it requires neither,"Common second factors tested against phishing and interception, showing why only origin-bound hardware authenticators survive a credential-relay attack.",ambisecure-blog-archive-common-misconceptions-about-2fa-1200x630.png,VSG-COMPARISON-MATRIX,blog-archive.png,Not started,"Held at P3: the page's own 2026 box says the misconception is largely resolved, and myths #3 and #5 (device count, cost) are dated consumer-2021 framing. Consolidation candidate with the modern 'Why use MFA' / 'Top 3 benefits of MFA' articles, which should carry the stronger image. The durable idea (factor differentiation) is what the visual should keep. Body corrected 2026-07-17: the 'phishing-proof' wording is gone from the page; the avoid-list entry still stands as guidance for the artwork. VSG-COMPARISON-MATRIX variation: factor-vs-attack verdict grid; rec 106 in the same group uses a two-column server-architecture contrast instead."
99,Blog,Single Sign-On vs MFA (Archive 2021),https://ambisecure.ambimat.com/blog/archive/single-sign-on-vs-mfa/,COMPARISON,Enterprise access,Phishing-resistant authentication;Hardware security keys,Enterprise identity,2,"SSO and MFA are not alternatives — SSO carries identity across applications while MFA sets the strength of the authentication event, and enterprise programmes need both.",IAM leader,"SSO Carries Identity, MFA Carries Proof",Why SSO and MFA Are Not Rivals,SECURITY EXPLAINER,SYSTEM ARCHITECTURE,"Dominant object: a single enterprise login event drawn as one horizontal spine with two stacked planes rather than a left/right versus split — the point is that they operate at different layers, not that they compete. Upper plane (SSO): the identity provider issues one session assertion that fans out to three relying applications, so identity is asserted once and reused. Lower plane (MFA): at the spine's origin, an AmbiSecure OnePass authenticator answers the challenge that gates that single event. Five nodes only: user, AmbiSecure authenticator, identity provider, SSO session assertion, the app fan-out. Inside hardware: the private key and any biometric template, both drawn as sealed and unlabelled with no outbound line. Externally communicated: only the signed assertion and the OIDC/SAML session token. Labels allowed: SSO, MFA, IdP, session assertion, authentication event. Must not imply MFA is a competing path to SSO or that either is optional.","Do not draw SSO and MFA as two branches of a fork or as a versus scoreboard — they sit on different planes of the same login; Do not repeat the MFA challenge at every application — it binds the authentication event, not each SSO handoff; Do not show the private key or biometric template travelling from the authenticator to the identity provider; Do not draw an SMS OTP as an equivalent-strength peer of the hardware authenticator in the factor slot",Two-plane view of an enterprise login: an SSO session carrying identity across apps while an AmbiSecure authenticator supplies the cryptographic proof beneath it.,ambisecure-blog-archive-single-sign-on-vs-mfa-1200x630.png,VSG-ENTERPRISE-ACCESS,blog-archive.png,Not started,"Promoted to P2: the SSO-vs-MFA confusion is genuinely durable and this page has no modern replacement CTA — only a 2026 reframe box, whose 'SSO carries identity; MFA carries proof' line is the strongest concept in the batch and drives the headline. Good LinkedIn value for IAM audiences. VSG-ENTERPRISE-ACCESS variation: two-plane login spine; rec 104 in the same group uses an attack-surface ring."
100,Blog,MFA in Government Sector (Archive 2021),https://ambisecure.ambimat.com/blog/archive/mfa-in-government/,INDUSTRY ARTICLE,Government identity,Phishing-resistant authentication;Hardware security keys;PIV,Government identity,2,"Government agencies are prime credential-theft targets, and the MFA implementation choice decides whether the threat model actually changes or the deployment just adds friction.",Government programme,Phishing-Resistant MFA for Public Agencies,Where Government MFA Changes the Threat Model,SECURITY EXPLAINER,IDENTITY FLOW,"Dominant object: a generic government relying-party portal at the right, approached by two inbound authentication paths that pass through the same attacker-controlled phishing proxy in the middle — the page's own point that agencies face MFA-resistant phishing. Upper path: the employee reads an SMS OTP and types it into the proxy, which relays it onward and succeeds; the code is drawn as transcribable text. Lower path: an AmbiSecure FIDO2 authenticator (or PIV applet) signs a challenge scoped to the real portal origin, so the proxy's relay is rejected at the origin check and the path terminates at the proxy. Five nodes: government employee, phishing proxy, SMS OTP path, hardware authenticator path, agency portal. Inside hardware: the signing key, never drawn on a wire. Labels allowed: SMS OTP, FIDO2, PIV, origin check, relayed. Must not imply an agency deployment or endorsement.","Do not show the FIDO2 credential being successfully relayed by the phishing proxy — origin binding is exactly what stops it; Do not use real government seals, flags, ministry crests or agency logos; Do not depict SMS OTP interception as requiring physical possession of the handset — relay and SIM re-issue need neither; Do not imply AmbiSecure holds FIPS 201, PIV or Common Criteria certification — this page claims none","A phishing proxy fronting a government portal, succeeding against a typed SMS code but failing against the origin-bound FIDO2 credential on an AmbiSecure authenticator.",ambisecure-blog-archive-mfa-in-government-1200x630.png,VSG-GOV-IDENTITY,blog-archive.png,Not started,"Promoted to P2: government identity is a live AmbiSecure industry surface and the phishing-resistance argument is durable — the 2026 box updates the mandate context (OMB M-22-09, NIST SP 800-63-4) rather than retiring the piece. New VSG-GOV-IDENTITY invented: no listed group covers non-ePassport government access; it is now the sole member of that group after rec 108 was retired from the site, so there is no in-group repetition risk. Correction 2026-07-17: an earlier draft of this note claimed the body asserts 'FIDO2 is the only phishing-proof factor' — it does not. The page correctly says OMB M-22-09 and NIST SP 800-63-4 made phishing-resistant MFA the federal baseline. No body change was needed or made."
101,Blog,Cyber Attacks in India – Part 3 (Archive 2021),https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-3/,SECURITY ANALYSIS,Other,Phishing-resistant authentication;Hardware security keys,Threat landscape (India),3,"Part three closes the series on the systemic side of India's large consumer-data breaches — stale access secrets, and the lag between compromise, discovery and disclosure.",Security practitioner,Where Incident Response Broke Down,Static Secrets Do Not Age Well,BLOG,LIFECYCLE,"Dominant object: a disclosure-lag timeline — five horizontal bars, each running from compromise to discovery to public notification, so the visible message is elapsed time rather than breach count. Five nodes, one per incident, labelled generically by sector not brand: payments processor (unrecycled access key), online grocery, edtech platform, healthcare records, local-search directory. A single annotation calls out the durable root the page names — a long-lived access key that was never rotated. Nothing is a hardware object in this frame; the AmbiSecure angle appears only as a closing caption strip on attested, rotatable credentials, not as a product inset. Series treatment: same bar-and-rule visual language as recs 102 and 103 but a different dominant object (lag bars, not ledgers or exposure rows). Labels allowed: compromise, discovered, disclosed, access key, and the series marker 'Part 3', which matches this page's H1. Must not imply the record counts are AmbiSecure findings.","Do not imply a hardware authenticator would have prevented a server-side database dump — the page's incidents are data-at-rest exposures where authentication is one root cause among several; Do not use Juspay, BigBasket, Unacademy or JustDial logos, wordmarks or brand colours; Do not present the dark-web resale prices or record counts as verified AmbiSecure research — they are 2021 press reports; Do not render an unrecycled access key as a cracked password — it was a valid credential left live","Disclosure-lag bars across five Indian consumer-data breaches, tracing the incident-response and credential-hygiene gaps that closed this archive series.",ambisecure-blog-archive-cyber-attacks-in-india-part-3-1200x630.png,VSG-THREAT-LANDSCAPE,blog-archive.png,Not started,"SERIES: cyber-attacks-in-india parts 1-3 = recs 103, 102, 101. Strong consolidation candidate — three thin 2021 breach retrospectives that would serve better as one India threat retrospective; flagging for human decision before any image spend. P3: dated (2018-2021 incidents), no product differentiation, low sharing value. Part numbering: this page's H1 does say 'Part 3', so a 'Part 3' marker is safe here — but see rec 103, whose H1 carries no number. VSG-THREAT-LANDSCAPE variation: disclosure-lag timeline. Distinct from rec 102 (exposure rows), rec 103 (root-cause ledger), rec 107 (linear OTP delivery path with tap points)."
102,Blog,Cyber Attacks in India – Part 2 (Archive 2021),https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-2/,SECURITY ANALYSIS,Other,Phishing-resistant authentication;Enterprise access,Threat landscape (India),3,"Part two of the series reads five Indian breaches for their common shape — credential theft, weak second factors, and privileged access that was never hardened.",Security practitioner,"Weak Second Factors, Repeated at Scale","Five More Exposures, One Access Gap",BLOG,COMPARISON,"Dominant object: an exposure-surface row — five data stores drawn as identical stacked slabs along a perimeter line, each annotated beneath with the single access control that was missing rather than with the attack that landed. Five nodes, sector-labelled not brand-labelled: an unsecured messaging server (bank SMS notifications), an order-history store, a third-party KYC warehouse, a personnel-records database, a public-health results portal indexed by a search engine. The relationship is repetition, not sequence: the same gap recurring across unrelated operators, which is the page's actual argument. No hardware cutaway; the tamper-resistant-key-custody point from the 2026 box appears as one small sealed-slab contrast at the row's end. Series treatment: shares the slab-and-annotation language of recs 103 and 101 but is the only one built on a perimeter row. Labels allowed: exposed store, missing control, third-party, indexed, and the 'Part 2' marker, which matches this page's H1.","Do not use SBI, Domino's, Jubilant FoodWorks or Upstox logos, wordmarks or brand colours; Do not depict a search-engine-indexed results page as a hacking intrusion — it was public exposure requiring no compromise; Do not imply AmbiSecure hardware would have closed a third-party data-warehouse exposure — none of these five stores were breached at the authentication step; Do not show the 13 TB or 180 million figures as AmbiSecure-verified research","Five Indian data-exposure incidents drawn as a perimeter row, each mapped to the access control it lacked, from an unsecured SMS server to a third-party KYC warehouse.",ambisecure-blog-archive-cyber-attacks-in-india-part-2-1200x630.png,VSG-THREAT-LANDSCAPE,blog-archive.png,Not started,"SERIES middle instalment (see rec 101 note). Consolidation candidate. P3: 2019-2021 incident recap, no durable technical content, minimal AmbiSecure differentiation. Accuracy caution for the illustrator: most incidents here are storage/exposure failures rather than authentication failures, so the image must not overclaim a hardware-key remedy — the honest visual claim is 'missing control', not 'missing security key'. VSG-THREAT-LANDSCAPE variation: perimeter exposure row. Distinct from recs 101, 103, 107."
103,Blog,Cyber Attacks in India (Archive 2021),https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-1/,SECURITY ANALYSIS,Other,Hardware security keys;Phishing-resistant authentication,Threat landscape (India),3,The first instalment reads India's landmark banking and identity incidents as systemic patterns in identity hygiene rather than isolated failures.,Security practitioner,"Five Breaches, One Credential Weakness",What India's Largest Breaches Had in Common,BLOG,CONCEPTUAL ILLUSTRATION,"Dominant object: a root-cause ledger — five incident rows on the left converging by ruled leader lines into a single node on the right labelled 'a secret a person could hand over'. Five nodes, described by mechanism and sector, never by brand: a national ID database leak, an ATM-server compromise reached through skimmed card data, a SIM-swap account takeover, a bank employee opening a forged central-bank attachment that yielded SWIFT access codes, and a second ATM-switch compromise cashed out across multiple countries. The convergence is the whole idea — different sectors, one class of weakness. No hardware object dominates; a single sealed-key glyph sits past the convergence node as the counterfactual, small and unlabelled by product. Series treatment: shares the ruled-line language of recs 102 and 101 but is the only one using convergence-to-a-root. Labels allowed: sector names, SIM swap, skimming, forged attachment, SWIFT codes.","Do not print 'Part 1', '1 of 3' or any numbering — this page's H1 is simply 'Cyber Attacks in India' with no number, and numbering it would contradict the page; Do not show the Aadhaar logo, UIDAI branding, Indian national emblem, or Canara/Cosmos/Union Bank marks; Do not depict SIM swap as physical SIM theft — it is a fraudulent re-issue against the operator's subscriber record; Do not imply a FIDO2 key would have stopped the ATM-switch or skimming compromises — those bypassed cardholder authentication entirely","Landmark Indian banking and identity incidents converging on one shared root: secrets a person could hand over, and access paths that nothing attested.",ambisecure-blog-archive-cyber-attacks-in-india-part-1-1200x630.png,VSG-THREAT-LANDSCAPE,blog-archive.png,Not started,"SERIES opener (recs 103 -> 102 -> 101). IMPORTANT numbering flag: the H1 and title of part one carry no number while parts 2 and 3 do, so this image must stay unnumbered even though it opens the series — the sibling images may carry 'Part 2'/'Part 3'. Consolidation candidate with 101/102. P3: 2018-era incidents, no differentiated technical content. Accuracy caution: the ATM/skimming and SWIFT incidents are not authenticator-remediable, so the counterfactual must stay understated. VSG-THREAT-LANDSCAPE variation: convergence-to-root ledger. Distinct from recs 101, 102, 107."
